Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,CDSC-E,PPC,PSC,SICK-E-PL,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435.0,1.62,89.13,79.87,93.56,98.63,84.47,pl,PairClassification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124.0,0.46,88.14,79.1,92.81,98.61,82.04,pl,PairClassification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1"">st-polish-kartonberta-base-alpha-v1</a>",124.0,0.46,87.92,79.12,92.65,98.42,81.47,pl,PairClassification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125.0,0.47,87.04,75.06,93.49,99.05,80.56,pl,PairClassification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125.0,0.47,87.0,75.99,93.29,99.1,79.63,pl,PairClassification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278.0,1.04,86.23,75.76,93.67,98.26,77.22,pl,PairClassification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278.0,1.04,86.16,77.27,91.76,99.15,76.45,pl,PairClassification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560.0,2.09,85.9,76.83,91.09,99.53,76.14,pl,PairClassification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,85.5,74.47,92.18,99.39,75.96,pl,PairClassification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118.0,0.44,84.61,76.68,89.7,98.86,73.21,pl,PairClassification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118.0,0.44,83.28,72.22,91.8,97.14,71.94,pl,PairClassification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,82.15,72.67,88.01,99.14,68.77,pl,PairClassification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,80.5,69.7,86.72,99.24,66.34,pl,PairClassification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,79.27,68.91,86.97,97.42,63.77,pl,PairClassification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135.0,0.5,79.26,71.83,86.83,96.35,62.05,pl,PairClassification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125.0,0.47,77.33,67.35,85.33,98.46,58.19,pl,PairClassification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125.0,0.47,75.32,63.31,84.18,98.87,54.93,pl,PairClassification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,73.2,59.97,85.37,91.98,55.48,pl,PairClassification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,59.51,43.51,70.19,77.83,46.51,pl,PairClassification
