Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,CmedqaRetrieval,CovidRetrieval,DuRetrieval,EcomRetrieval,MedicalRetrieval,MMarcoRetrieval,T2Retrieval,VideoRetrieval,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,74.41,46.56,84.03,87.85,68.79,65.92,79.93,86.76,75.43,zh,Retrieval
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,74.36,47.58,86.78,89.14,67.75,64.88,79.54,86.14,73.1,zh,Retrieval
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,73.6,46.87,82.44,87.13,68.62,65.18,79.14,85.56,73.89,zh,Retrieval
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,73.52,46.61,81.87,86.8,68.1,64.99,79.21,85.85,74.71,zh,Retrieval
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TownsWu/PEG"">PEG</a>",163,0.61,73.43,39.23,82.93,88.35,68.14,61.73,83.33,86.27,77.43,zh,Retrieval
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,73.41,44.22,87.69,86.45,68.04,63.38,78.47,85.45,73.59,zh,Retrieval
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,73.3,43.93,88.14,86.23,67.56,63.57,78.25,84.58,74.16,zh,Retrieval
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,73.12,47.64,86.86,88.43,66.39,61.1,80.17,80.11,74.28,zh,Retrieval
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aspire/acge_text_embedding"">acge_text_embedding</a>",326,1.21,72.93,46.78,81.56,86.55,67.6,64.1,78.42,85.08,73.32,zh,Retrieval
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/akarum/cloudy-large-zh"">cloudy-large-zh</a>",326,1.21,72.92,43.58,85.83,86.2,66.99,64.23,77.69,84.94,73.86,zh,Retrieval
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/wongctroman/hktv-fine-tuned-cloudy-large-zh-metaphor14"">hktv-fine-tuned-cloudy-large-zh-metaphor14</a>",326,1.21,72.92,43.58,85.83,86.2,66.99,64.23,77.69,84.94,73.86,zh,Retrieval
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,72.9,46.77,81.52,86.56,67.53,64.02,78.44,85.08,73.29,zh,Retrieval
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,72.49,43.15,88.41,85.04,67.25,62.88,77.53,81.93,73.7,zh,Retrieval
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v3-1792d"">stella-base-zh-v3-1792d</a>",102,0.38,72.28,45.38,80.61,85.55,67.88,64.34,77.42,84.5,72.56,zh,Retrieval
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao-8k"">tao-8k</a>",167,0.62,71.85,42.73,82.19,88.02,64.71,60.63,79.56,84.69,72.25,zh,Retrieval
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,71.71,44.38,75.74,83.64,69.56,64.94,77.7,83.08,74.67,zh,Retrieval
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,71.2,42.02,84.5,88.25,62.88,58.09,77.92,82.38,73.54,zh,Retrieval
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh"">stella-base-zh</a>",51,0.19,71.07,41.86,84.71,87.8,62.46,57.97,78.22,82.51,73.04,zh,Retrieval
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh"">stella-large-zh</a>",163,0.61,71.02,42.28,85.19,87.81,61.66,59.38,78.1,82.76,70.96,zh,Retrieval
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,70.93,41.98,85.04,87.97,61.91,59.04,77.83,82.47,71.18,zh,Retrieval
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/pengql/checkpoint-9000"">checkpoint-9000</a>",326,1.21,70.63,40.57,75.93,83.73,66.14,58.58,81.95,84.17,73.94,zh,Retrieval
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NLPArtisan/qwen-1.8b-retrieval-test"">qwen-1.8b-retrieval-test</a>",,,70.63,40.57,75.93,83.73,66.14,58.58,81.95,84.17,73.94,zh,Retrieval
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,70.62,43.47,80.87,86.01,66.46,61.33,73.83,83.58,69.41,zh,Retrieval
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,70.54,41.03,75.07,84.68,65.6,58.28,81.38,84.39,73.93,zh,Retrieval
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,70.46,42.57,73.35,86.32,65.33,59.59,79.23,83.99,73.32,zh,Retrieval
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,70.41,45.83,76.77,81.47,68.42,64.42,71.7,81.33,73.31,zh,Retrieval
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao"">tao</a>",163,0.61,70.26,42.68,80.79,85.74,62.06,59.53,78.66,84.69,67.96,zh,Retrieval
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,70.14,42.63,80.81,85.75,62.07,59.42,78.67,83.87,67.93,zh,Retrieval
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v2"">stella-base-zh-v2</a>",51,0.19,70.08,42.03,79.86,86.97,62.85,58.5,78.36,83.76,68.27,zh,Retrieval
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,69.59,41.8,79.3,86.43,62.64,58.27,78.17,82.11,67.96,zh,Retrieval
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,69.49,41.61,74.7,85.07,64.25,56.51,77.69,83.71,72.35,zh,Retrieval
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,69.4,39.15,81.22,84.57,63.95,57.12,77.96,80.59,70.62,zh,Retrieval
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,67.7,42.69,75.63,79.89,64.48,59.95,70.75,79.9,68.3,zh,Retrieval
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,65.5,42.46,61.65,78.57,57.91,62.64,75.0,78.12,67.69,zh,Retrieval
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,64.11,34.08,71.92,79.7,59.22,51.5,74.73,77.08,64.67,zh,Retrieval
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,63.66,28.67,75.51,85.32,54.75,51.44,79.2,76.11,58.25,zh,Retrieval
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,63.52,33.45,73.36,80.13,55.89,50.67,74.14,76.84,63.66,zh,Retrieval
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,62.87,27.0,68.86,78.08,58.34,49.63,78.82,79.82,62.44,zh,Retrieval
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,61.77,35.11,70.14,77.28,55.71,49.8,63.48,76.43,66.19,zh,Retrieval
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,61.75,34.22,73.13,87.02,45.96,52.75,74.83,80.68,45.39,zh,Retrieval
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,61.63,27.2,73.45,81.64,54.17,48.35,76.04,70.86,61.3,zh,Retrieval
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,60.6,31.79,66.33,75.25,57.32,49.28,69.11,75.94,59.76,zh,Retrieval
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,59.95,24.38,72.82,81.35,53.56,44.84,73.17,71.39,58.09,zh,Retrieval
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,59.77,26.18,67.57,75.82,51.28,47.48,77.0,76.3,56.54,zh,Retrieval
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,59.76,32.33,67.22,75.27,58.24,54.78,57.91,69.22,63.09,zh,Retrieval
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,58.2,30.34,58.55,75.05,52.54,50.08,62.26,72.7,64.08,zh,Retrieval
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,57.96,23.91,68.14,72.84,52.02,43.27,74.66,72.81,56.07,zh,Retrieval
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,56.91,30.33,66.42,75.76,50.27,42.79,65.46,73.14,51.11,zh,Retrieval
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,54.75,30.73,61.33,74.69,45.18,48.66,61.06,72.36,44.02,zh,Retrieval
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,52.0,22.36,57.21,71.17,44.49,37.92,69.86,69.14,43.85,zh,Retrieval
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,46.16,20.03,33.57,56.04,47.0,36.68,69.31,51.57,55.07,zh,Retrieval
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,44.4,18.04,55.48,59.36,40.48,29.8,55.31,58.67,38.04,zh,Retrieval
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,41.94,15.53,60.48,51.87,37.58,30.93,45.96,50.52,42.65,zh,Retrieval
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,38.79,15.91,44.81,52.23,34.6,27.56,44.06,51.67,39.52,zh,Retrieval
55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,32.1,11.35,39.63,41.16,32.71,20.35,34.62,41.8,35.15,zh,Retrieval
56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,22.92,10.15,28.85,33.41,9.69,14.1,44.62,28.35,14.17,zh,Retrieval
57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,7.15,7.22,10.38,1.44,4.68,4.08,11.0,1.31,17.05,zh,Retrieval
58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,4.52,2.22,2.32,5.86,10.37,2.37,3.64,4.64,4.77,zh,Retrieval
